Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
0,1.06797,1.06812,0.068121
1,0.900918,1.00325,0.00325
2,0.976751,0.997325,-0.002675
3,0.975121,0.993454,-0.006546
4,0.995158,1.00271,0.002714
5,0.986788,0.994362,-0.005638
6,0.992677,0.999528,-0.000472
7,0.993344,1.00036,0.000362
8,0.973251,0.980232,-0.019768
9,1.06634,1.07342,0.073417
10,0.939788,0.947251,-0.052749
11,0.994158,1.00116,0.001158
12,0.981287,0.990287,-0.009713
13,1.00088,1.00977,0.009769
14,0.991602,0.999399,-0.000601
15,0.992103,0.999992,-8e-06
16,0.994677,1.00392,0.003917
17,0.98775,0.996676,-0.003324
18,0.991288,0.999307,-0.000693
19,1.01955,1.02745,0.027454
20,0.954158,0.962769,-0.037231
21,1.00443,1.01299,0.012991
22,0.96714,1.00055,0.000547
23,0.988917,0.998843,-0.001157
24,0.976066,0.985881,-0.014119
25,1.00379,1.01421,0.014213
26,0.990196,0.999492,-0.000508
27,0.990214,0.999843,-0.000157
28,0.984732,0.994232,-0.005768
29,1.02936,1.03992,0.039917
30,0.956529,0.967232,-0.032768
31,0.993177,1.00297,0.002973
32,0.986362,0.999751,-0.000249
33,0.992343,1.00612,0.00612
34,0.985047,0.998103,-0.001897
35,0.987306,1.00038,0.00038
36,0.987528,1.00012,0.000121
37,0.98325,0.995917,-0.004083
38,0.987177,0.999714,-0.000286
39,1.02843,1.04082,0.040824
40,1.04877,1.0621,0.062102
41,0.889178,0.904363,-0.095637
42,0.98164,0.999769,-0.000231
43,0.983547,0.999102,-0.000898
44,0.98788,1.00269,0.002695
45,0.982566,0.997381,-0.002619
46,0.984714,0.999658,-0.000342
47,0.985547,1.00012,0.000121
48,0.987047,1.00182,0.001824
49,0.98538,1.00058,0.000584
50,1.01025,1.02525,0.025251
51,0.950195,0.983343,-0.016657
52,0.97751,0.994177,-0.005823
53,0.978103,0.994065,-0.005935
54,0.98401,0.99901,-0.00099
55,0.984528,0.999602,-0.000398
56,0.997177,1.01168,0.011677
