Timestamp (s),Timestamp (ns),Jitter (ns)
1550,301417709,93
1550,301464043,46334
1550,301525082,61039
1550,301585991,60909
1550,301650567,64576
1550,301705013,54446
1550,301766719,61706
1550,301828721,62002
1550,301891186,62465
1550,301952373,61187
1550,302014541,62168
1550,302076561,62020
1550,302138285,61724
1550,302200676,62391
1550,302262956,62280
1550,302325495,62539
1550,302387719,62224
1550,302449498,61779
1550,302511408,61910
1550,302573965,62557
1550,302636356,62391
1550,302698117,61761
1550,302760063,61946
1550,302822306,62243
1550,302884048,61742
1550,302948180,64132
1550,303012071,63891
1550,303073869,61798
1550,303135759,61890
1550,303197446,61687
1550,303259467,62021
1550,303321209,61742
1550,303382933,61724
1550,303444620,61687
1550,303506455,61835
1550,303568309,61854
1550,303629978,61669
1550,303691683,61705
1550,303753407,61724
1550,303815113,61706
1550,303877022,61909
1550,303938672,61650
1550,304000377,61705
1550,304100677,100300
1550,304162808,62131
1550,304224829,62021
1550,304286719,61890
1550,304348443,61724
1550,304410167,61724
1550,304472003,61836
1550,304533653,61650
1550,304595395,61742
1550,304657249,61854
1550,304719251,62002
1550,304781049,61798
1550,304842662,61613
1550,304904293,61631
1550,304965869,61576
1550,305027630,61761
1550,305089187,61557
1550,305150800,61613
1550,305212358,61558
1550,305273915,61557
1550,305335454,61539
1550,305397326,61872
1550,305458865,61539
1550,305520459,61594
1550,305582184,61725
1550,305643759,61575
1550,305705428,61669
1550,305767226,61798
1550,305828820,61594
1550,305890452,61632
1550,305951954,61502
1550,306013548,61594
1550,306075272,61724
1550,306155423,80151
1550,306238333,82910
1550,306307631,69298
1550,306376892,69261
1550,306446265,69373
1550,306515711,69446
1550,306585269,69558
1550,306654586,69317
1550,306717310,62724
1550,306786978,69668
1550,306856480,69502
1550,306925890,69410
1550,306994855,68965
1550,307064209,69354
1550,307133137,68928
1550,307188305,55168
1550,307259270,70965
1550,307327291,68021
1550,307395311,68020
1550,307463165,67854
1550,307531149,67984
1550,307599058,67909
1550,307667097,68039
1550,307734951,67854
1550,307804527,69576
1550,307872677,68150
1550,307940661,67984
1550,308061053,120392
1550,308133222,72169
1550,308203835,70613
1550,308275893,72058
1550,308346802,70909
1550,308417378,70576
1550,308488955,71577
1550,308559475,70520
1550,308631681,72206
1550,308703924,72243
1550,308775889,71965
1550,308841372,65483
1550,308896281,54909
1550,308948950,52669
1550,309001433,52483
1550,309064898,63465
1550,309117899,53001
1550,309184253,66354
1550,309254774,70521
1550,309325590,70816
1550,309396056,70466
1550,309467095,71039
1550,309537375,70280
1550,309607432,70057
1550,309677656,70224
1550,309747825,70169
1550,309818124,70299
1550,309888348,70224
1550,309957980,69632
1550,310027704,69724
1550,310097150,69446
1550,310166412,69262
1550,310235599,69187
1550,310305027,69428
1550,310374381,69354
1550,310443586,69205
1550,310512829,69243
1550,310582054,69225
1550,310651426,69372
1550,310720743,69317
1550,310790375,69632
1550,310859617,69242
1550,310928934,69317
1550,310998195,69261
1550,311067531,69336
1550,311137477,69946
1550,311206998,69521
1550,311276204,69206
1550,311345465,69261
1550,311414689,69224
1550,311483932,69243
1550,311553434,69502
1550,311622769,69335
1550,311692123,69354
1550,311761514,69391
1550,311831016,69502
1550,311895129,64113
1550,311952501,57372
1550,312049801,97300
1550,312119210,69409
1550,312188712,69502
1550,312248177,59465
1550,312317753,69576
1550,312387144,69391
1550,312456609,69465
1550,312526018,69409
1550,312595298,69280
1550,312664578,69280
1550,312733802,69224
1550,312803527,69725
1550,312872881,69354
1550,312942123,69242
1550,313001829,59706
1550,313071146,69317
1550,313140481,69335
1550,313200761,60280
1550,313270207,69446
1550,313339709,69502
1550,313409063,69354
1550,313478510,69447
1550,313548012,69502
1550,313619977,71965
1550,313691868,71891
1550,313762222,70354
1550,313825316,63094
1550,313895855,70539
1550,313951727,55872
1550,314004747,53020
1550,314075490,70743
1550,314145881,70391
1550,314216568,70687
1550,314286996,70428
1550,314357369,70373
1550,314427797,70428
1550,314498447,70650
1550,314568894,70447
1550,314639025,70131
1550,314709305,70280
