Iteration,ExecutionTime(ms)
0,1.08043
1,0.897712
2,0.984932
3,0.977877
4,0.985395
5,0.992561
6,0.992395
7,0.992413
8,0.99245
9,0.992433
10,0.992729
11,0.992655
12,0.992988
13,0.992951
14,0.992951
15,0.991803
16,0.992877
17,0.993691
18,0.992969
19,0.992858
20,0.992192
21,0.993377
22,0.992062
23,0.99221
24,0.992321
25,0.993136
26,0.991932
27,0.992191
28,0.993322
29,0.993413
30,0.993154
31,0.991654
32,0.992043
33,0.992932
34,0.993358
35,0.99045
36,0.992506
37,0.993043
38,0.993007
39,0.99195
40,0.994136
41,0.992673
42,0.99247
43,0.991636
44,0.993914
45,0.992951
46,0.993413
47,0.992062
48,0.989747
49,0.985469
50,1.00288
51,0.973488
52,0.992913
53,0.993358
54,0.990932
55,0.992247
56,0.993877
57,0.979877
58,0.993081
59,0.99021
60,0.990172
61,0.987673
62,0.992895
63,0.991821
64,0.99195
65,0.993173
66,0.992988
67,0.992747
68,0.993469
69,0.99321
70,0.991729
71,0.992414
72,0.993377
73,0.992988
74,0.992136
75,0.995469
76,0.997303
77,0.971525
78,0.989987
79,0.970711
80,0.990932
81,0.991396
82,0.992488
83,0.991432
84,0.993673
85,0.993358
86,0.992765
87,0.992192
88,0.993117
89,0.993192
90,0.993099
91,0.992432
92,0.993617
93,0.991784
94,0.993988
95,0.991896
96,0.994136
97,0.993136
98,1.00002
99,0.976191
100,0.992191
101,0.993247
102,0.992821
103,0.991728
104,0.993914
105,0.993321
106,0.993135
107,0.992414
108,0.993617
109,0.99295
110,0.993099
111,0.993914
112,0.988469
113,0.992024
114,0.994043
115,0.991932
116,0.994099
117,0.992969
118,0.992803
119,0.992433
120,0.993987
121,0.99258
122,0.992599
123,0.991988
124,0.993376
125,1.00417
126,0.973173
127,0.989321
128,0.987321
129,0.993025
130,0.993173
131,0.992488
132,0.990561
133,0.994043
134,0.992192
135,0.991988
136,0.994155
137,0.993172
138,0.992025
139,0.991803
140,0.993969
141,0.993006
142,0.99271
143,0.991895
144,0.993118
145,0.993266
146,0.99295
147,0.994895
148,0.991599
149,0.988192
150,0.987007
151,0.992765
152,0.991599
153,0.993969
154,0.991821
155,0.991469
156,0.993803
157,0.993321
158,0.992969
159,0.991951
160,0.994173
161,0.993173
162,0.993118
163,0.991766
164,0.993654
165,0.99434
166,0.992729
167,0.988599
168,0.993247
169,0.992025
170,0.99245
171,0.991655
172,0.993395
173,0.993487
174,0.992765
175,0.991469
176,0.993692
177,0.992729
178,0.993081
179,0.991932
180,0.994432
181,0.999154
182,0.978877
183,0.991377
184,0.989561
185,0.993044
186,0.993043
187,0.992877
188,0.991525
189,0.993043
190,0.992951
191,0.993099
192,0.991599
193,0.992877
194,0.992895
195,0.992414
196,0.993118
197,0.992802
198,0.993007
199,0.991876
200,0.991951
201,0.993025
202,0.99334
203,0.991729
204,0.993617
205,0.999173
206,0.981655
207,0.992562
208,0.986506
209,0.992895
210,0.993062
211,0.991821
212,0.993914
213,0.992821
214,0.993006
215,0.991729
216,0.993561
217,0.992933
218,0.993247
219,0.991747
220,0.993747
221,0.992987
222,0.992877
223,0.992229
224,0.993247
225,0.99321
226,0.992896
227,0.992469
228,0.993451
229,0.992821
230,0.992302
231,0.992562
232,0.993969
233,0.99284
234,0.994506
235,0.989117
236,0.99371
237,0.992803
238,0.993025
239,0.991987
240,0.993191
241,0.993229
242,0.99308
243,0.993302
244,0.992376
245,0.992895
246,0.99297
247,0.992284
248,0.993136
249,0.992876
250,0.992303
251,0.993914
252,0.996691
253,0.989988
254,0.993154
255,0.990173
256,0.993839
257,0.99271
258,0.992192
259,0.990099
260,0.995321
261,0.99321
262,0.993543
263,0.990987
264,0.993969
265,0.992877
266,0.993155
267,0.99158
268,0.993969
269,0.991599
270,0.99395
271,0.99071
272,0.994618
273,0.993432
274,0.992432
