Iteration,ExecutionTime(ms)
0,1.07076
1,0.892765
2,0.985968
3,0.99169
4,0.987856
5,0.990634
6,0.990746
7,0.987912
8,0.990653
9,0.990541
10,0.990727
11,0.990931
12,0.991672
13,0.989097
14,0.988875
15,0.989635
16,0.988745
17,0.987116
18,0.988911
19,0.989282
20,0.987763
21,0.99343
22,0.984172
23,0.990486
24,0.983449
25,0.98619
26,0.986708
27,0.983486
28,0.986023
29,0.988801
30,0.999023
31,0.953116
32,0.987949
33,0.955486
34,0.981115
35,0.98619
36,0.978708
37,0.977172
38,0.978319
39,0.983893
40,0.976856
41,0.98243
42,0.982949
43,0.984689
44,0.976875
45,0.982005
46,0.981042
47,0.983042
48,0.983986
49,0.981986
50,0.982319
51,0.985393
52,0.989023
53,0.972986
54,0.978245
55,0.984486
56,0.979987
57,0.949616
58,1.01369
59,0.942542
60,0.993652
61,0.943764
62,0.971949
63,0.977801
64,0.975542
65,0.977727
66,0.975283
67,0.98256
68,0.980653
69,0.97169
70,0.974246
71,0.977319
72,0.977635
73,0.978412
74,0.976394
75,1.22454
76,0.730879
77,0.980968
78,0.940376
79,0.948987
80,0.96245
81,0.979412
82,0.974227
83,0.983671
84,0.970579
85,0.978986
86,0.979097
87,0.980172
88,0.978913
89,0.97856
90,0.979301
91,0.977246
92,0.972116
93,0.973986
94,0.979079
95,0.977282
96,0.977208
97,0.978968
98,0.979152
99,0.981097
100,0.978838
101,0.978968
102,0.97982
103,0.97919
104,0.974116
105,0.979004
106,0.972764
107,0.984134
108,0.97793
109,0.977504
110,0.979764
111,0.981931
112,0.972245
113,0.978338
114,0.979745
115,0.982431
116,0.977227
117,0.979745
118,1.01369
119,0.943616
120,0.93932
121,0.965412
122,0.976338
123,0.982782
124,0.978209
125,0.979042
126,0.979764
127,0.97469
128,0.975264
129,0.978838
130,0.979467
131,0.982615
132,0.975689
133,0.978393
134,0.979319
135,0.982616
136,0.978949
137,0.979468
138,0.978968
139,0.980893
140,0.979061
141,1.12845
142,0.837951
143,0.953061
144,0.973135
145,1.00197
146,0.93456
147,0.969116
148,0.967505
149,0.97569
150,0.973708
151,0.982209
152,0.976875
153,0.979209
154,0.979505
155,0.980152
156,0.977171
157,0.989338
158,0.95832
159,0.988412
160,0.949857
161,0.973135
162,0.973468
163,0.978449
164,0.97045
165,0.974042
166,0.979782
167,0.982079
168,0.977171
169,0.979005
170,0.97906
171,0.980375
172,0.978579
173,0.977171
174,0.981671
175,0.982634
176,0.977486
177,0.978171
178,0.980208
179,0.98193
180,0.97669
181,0.979283
182,0.979357
183,0.981653
184,0.977523
185,0.978875
186,0.979708
187,0.98206
188,0.976764
189,0.979635
190,0.979208
191,0.980171
192,0.97806
193,0.980023
194,0.980097
195,0.981616
196,0.977319
197,0.978615
198,0.980264
199,0.982023
200,0.977801
201,0.978468
202,0.980134
203,0.982245
204,0.97656
205,0.979689
206,0.979356
207,0.982227
208,0.977171
209,0.979912
210,0.970764
211,0.97932
212,0.976931
213,0.979801
214,0.978783
215,0.982116
216,0.978079
217,0.977838
218,0.979208
219,0.977949
220,0.980764
221,0.979412
222,0.980431
223,0.979708
224,0.974745
225,0.978893
226,0.979486
227,0.984783
228,0.974653
229,0.97606
230,0.98006
231,0.986615
232,1.00345
233,0.932209
234,0.968282
235,0.980579
236,0.972913
237,0.977672
