Timestamp (s),Timestamp (ns),Jitter (ns)
1168,92687212,611
1168,92746267,59055
1168,92829785,83518
1168,92913229,83444
1168,92996673,83444
1168,93080136,83463
1168,93163580,83444
1168,93247042,83462
1168,93330486,83444
1168,93413949,83463
1168,93483319,69370
1168,93546614,63295
1168,93619096,72482
1168,93678743,59647
1168,93747743,69000
1168,93831261,83518
1168,93893242,61981
1168,93952816,59574
1168,94030519,77703
1168,94104778,74259
1168,94172685,67907
1168,94256166,83481
1168,94339647,83481
1168,94416517,76870
1168,94499980,83463
1168,94583498,83518
1168,94643219,59721
1168,94713682,70463
1168,94775293,61611
1168,94840885,65592
1168,94901218,60333
1168,94961718,60500
1168,95023958,62240
1168,95107476,83518
1168,95177124,69648
1168,95247994,70870
1168,95316234,68240
1168,95381049,64815
1168,95440826,59777
1168,95509474,68648
1168,95589233,79759
1168,95652677,63444
1168,95724028,71351
1168,95795565,71537
1168,95856602,61037
1168,95918731,62129
1168,95994767,76036
1168,96068971,74204
1168,96136470,67499
1168,96198155,61685
1168,96257340,59185
1168,96322136,64796
1168,96383821,61685
1168,96448746,64925
1168,96510135,61389
1168,96572061,61926
1168,96633579,61518
1168,96696023,62444
1168,96756356,60333
1168,96820022,63666
1168,96881688,61666
1168,96940910,59222
1168,97002354,61444
1168,97063632,61278
1168,97125354,61722
1168,97185390,60036
1168,97256649,71259
1168,97340186,83537
1168,97414260,74074
1168,97497796,83536
1168,97575536,77740
1168,97639369,63833
1168,97706406,67037
1168,97784480,78074
1168,97847516,63036
1168,97907016,59500
1168,97984701,77685
1168,98062719,78018
1168,98132256,69537
1168,98195033,62777
1168,98277736,82703
1168,98361310,83574
1168,98444809,83499
1168,98509031,64222
1168,98576809,67778
1168,98648475,71666
1168,98731937,83462
1168,98815400,83463
1168,98898844,83444
1168,98982343,83499
1168,99065880,83537
1168,99144157,78277
1168,99227675,83518
1168,99311193,83518
1168,99394637,83444
1168,99469507,74870
1168,99553007,83500
1168,99636451,83444
1168,99719913,83462
1168,99803357,83444
1168,99886820,83463
1168,99970264,83444
1168,100053745,83481
1168,100137207,83462
1168,100220651,83444
1168,100302151,81500
1168,100362910,60759
1168,100418539,55629
1168,100474187,55648
1168,100529816,55629
1168,100585446,55630
1168,100641075,55629
1168,100696723,55648
1168,100752352,55629
1168,100807981,55629
1168,100863629,55648
1168,100919259,55630
1168,100974888,55629
1168,101030536,55648
1168,101086165,55629
1168,101141794,55629
1168,101197442,55648
1168,101253072,55630
1168,101308701,55629
1168,101364349,55648
1168,101419978,55629
1168,101475607,55629
1168,101531255,55648
1168,101586884,55629
1168,101642514,55630
1168,101698162,55648
1168,101753791,55629
1168,101809420,55629
1168,101865068,55648
1168,101920697,55629
1168,101976327,55630
1168,102031975,55648
1168,102087604,55629
1168,102143233,55629
1168,102198881,55648
1168,102254510,55629
1168,102310140,55630
1168,102365769,55629
1168,102421417,55648
1168,102477046,55629
1168,102532675,55629
1168,102588323,55648
1168,102643953,55630
1168,102699582,55629
1168,102755230,55648
1168,102810859,55629
