Index,RTT(ms),Jitter(ms),RTT_Jitter(ms)
849,0.747547,0,0
850,0.430884,-0.316663,0
851,0.481309,0.050425,0.367088
852,0.498235,0.016926,-0.033499
853,0.495438,-0.002797,-0.019723
854,0.43655,-0.058888,-0.056091
855,0.387385,-0.049165,0.009723
856,0.720306,0.332921,0.382086
857,0.554697,-0.165609,-0.49853
858,0.643808,0.089111,0.25472
859,0.907472,0.263664,0.174553
860,0.461624,-0.445848,-0.709512
861,0.359144,-0.10248,0.343368
862,0.325885,-0.033259,0.069221
863,0.237127,-0.088758,-0.055499
864,0.318571,0.081444,0.170202
865,0.338311,0.01974,-0.061704
866,0.246849,-0.091462,-0.111202
867,0.281274,0.034425,0.125887
868,0.204553,-0.076721,-0.111146
869,0.198257,-0.006296,0.070425
870,0.190887,-0.00737,-0.001074
871,0.18635,-0.004537,0.002833
872,0.282775,0.096425,0.100962
873,0.256182,-0.026593,-0.123018
874,0.433755,0.177573,0.204166
875,0.223609,-0.210146,-0.387719
876,0.223701,9.2e-05,0.210238
877,0.206702,-0.016999,-0.017091
878,0.188757,-0.017945,-0.000946
879,0.226942,0.038185,0.05613
880,0.177147,-0.049795,-0.08798
881,0.390551,0.213404,0.263199
882,0.356904,-0.033647,-0.247051
883,0.223572,-0.133332,-0.099685
884,0.199572,-0.024,0.109332
885,0.309552,0.10998,0.13398
886,0.25309,-0.056462,-0.166442
887,0.255552,0.002462,0.058924
888,0.296774,0.041222,0.03876
889,0.273941,-0.022833,-0.064055
890,0.906546,0.632605,0.655438
891,0.314552,-0.591994,-1.2246
892,0.242294,-0.072258,0.519736
893,0.312626,0.070332,0.14259
894,0.203646,-0.10898,-0.179312
895,0.303904,0.100258,0.209238
896,0.239516,-0.064388,-0.164646
897,0.27959,0.040074,0.104462
898,0.170702,-0.108888,-0.148962
899,0.180794,0.010092,0.11898
900,0.281553,0.100759,0.090667
901,0.391496,0.109943,0.009184
902,0.251386,-0.14011,-0.250053
903,0.183775,-0.067611,0.072499
904,0.181443,-0.002332,0.065279
905,0.26859,0.087147,0.089479
906,0.219942,-0.048648,-0.135795
907,0.322163,0.102221,0.150869
908,0.209534,-0.112629,-0.21485
909,0.187517,-0.022017,0.090612
910,0.189239,0.001722,0.023739
911,0.312867,0.123628,0.121906
912,0.302589,-0.010278,-0.133906
913,0.271348,-0.031241,-0.020963
914,0.3432,0.071852,0.103093
915,0.325496,-0.017704,-0.089556
916,0.215479,-0.110017,-0.092313
917,0.204128,-0.011351,0.098666
918,0.337367,0.133239,0.14459
919,0.206091,-0.131276,-0.264515
920,0.126887,-0.079204,0.052072
921,0.249201,0.122314,0.201518
922,0.193831,-0.05537,-0.177684
923,0.211497,0.017666,0.073036
924,0.277812,0.066315,0.048649
925,0.172406,-0.105406,-0.171721
926,0.225405,0.052999,0.158405
927,0.163146,-0.062259,-0.115258
928,0.882508,0.719362,0.781621
929,0.290996,-0.591512,-1.31087
930,0.190183,-0.100813,0.490699
931,0.330033,0.13985,0.240663
932,0.206109,-0.123924,-0.263774
933,0.563864,0.357755,0.481679
934,0.587994,0.02413,-0.333625
935,0.222701,-0.365293,-0.389423
936,0.199942,-0.022759,0.342534
937,0.155905,-0.044037,-0.021278
938,0.244479,0.088574,0.132611
939,0.214664,-0.029815,-0.118389
940,0.156591,-0.058073,-0.028258
941,0.142887,-0.013704,0.044369
942,0.27083,0.127943,0.141647
943,0.268238,-0.002592,-0.130535
944,0.2437,-0.024538,-0.021946
945,0.234608,-0.009092,0.015446
946,0.171794,-0.062814,-0.053722
947,0.274182,0.102388,0.165202
948,0.217534,-0.056648,-0.159036
949,0.383348,0.165814,0.222462
950,0.226979,-0.156369,-0.322183
951,0.23346,0.006481,0.16285
952,0.263201,0.029741,0.02326
953,0.27222,0.009019,-0.020722
954,0.191072,-0.081148,-0.090167
955,0.285293,0.094221,0.175369
956,0.294145,0.008852,-0.085369
957,0.200479,-0.093666,-0.102518
958,0.40244,0.201961,0.295627
959,0.216942,-0.185498,-0.387459
960,0.158906,-0.058036,0.127462
961,0.24022,0.081314,0.13935
962,0.279368,0.039148,-0.042166
963,0.300737,0.021369,-0.017779
964,0.183202,-0.117535,-0.138904
965,0.126257,-0.056945,0.06059
966,0.121202,-0.005055,0.05189
967,0.32544,0.204238,0.209293
968,0.199794,-0.125646,-0.329884
969,0.161887,-0.037907,0.087739
970,0.221886,0.059999,0.097906
971,0.159498,-0.062388,-0.122387
972,0.228016,0.068518,0.130906
973,0.337033,0.109017,0.040499
974,0.181776,-0.155257,-0.264274
975,0.264182,0.082406,0.237663
976,2.91326,2.64908,2.56668
977,2.83443,-0.078833,-2.72791
978,2.6909,-0.143535,-0.064702
979,2.55564,-0.135259,0.008276
980,2.43749,-0.118146,0.017113
981,0.748899,-1.68859,-1.57045
982,0.726881,-0.022018,1.66657
983,0.962823,0.235942,0.25796
984,0.60429,-0.358533,-0.594475
985,0.191794,-0.412496,-0.053963
986,0.410569,0.218775,0.631271
987,0.234979,-0.17559,-0.394365
988,0.16809,-0.066889,0.108701
989,0.248182,0.080092,0.146981
990,0.193313,-0.054869,-0.134961
991,0.170609,-0.022704,0.032165
992,0.199498,0.028889,0.051593
993,0.401792,0.202294,0.173405
994,0.770306,0.368514,0.16622
995,0.235146,-0.53516,-0.903674
996,0.194757,-0.040389,0.494771
997,0.182924,-0.011833,0.028556
998,0.257275,0.074351,0.086184
999,0.281386,0.024111,-0.05024
1000,0.197479,-0.083907,-0.108018
1001,0.230738,0.033259,0.117166
1002,0.432569,0.201831,0.168572
1003,0.315867,-0.116702,-0.318533
1004,0.219219,-0.096648,0.020054
1005,1.58246,1.36325,1.45989
1006,0.262738,-1.31973,-2.68297
1007,0.202442,-0.060296,1.25943
1008,1.40554,1.2031,1.26339
1009,0.349903,-1.05564,-2.25873
1010,0.373644,0.023741,1.07938
1011,4.13467,3.76103,3.73729
1012,0.389921,-3.74475,-7.50578
1013,0.276331,-0.11359,3.63116
1014,0.237887,-0.038444,0.075146
1015,0.221072,-0.016815,0.021629
1016,0.364348,0.143276,0.160091
1017,0.661289,0.296941,0.153665
1018,0.359348,-0.301941,-0.598882
1019,0.336274,-0.023074,0.278867
1020,0.274515,-0.061759,-0.038685
1021,0.240979,-0.033536,0.028223
1022,0.266572,0.025593,0.059129
1023,0.270682,0.00411,-0.021483
1024,0.259497,-0.011185,-0.015295
1025,0.281663,0.022166,0.033351
1026,0.250793,-0.03087,-0.053036
1027,0.238534,-0.012259,0.018611
1028,0.226034,-0.0125,-0.000241
1029,0.201794,-0.02424,-0.01174
1030,0.323071,0.121277,0.145517
1031,0.409718,0.086647,-0.03463
1032,0.278553,-0.131165,-0.217812
1033,0.295793,0.01724,0.148405
1034,0.274089,-0.021704,-0.038944
1035,0.296071,0.021982,0.043686
1036,0.284311,-0.01176,-0.033742
1037,0.279293,-0.005018,0.006742
1038,0.226424,-0.052869,-0.047851
1039,0.266905,0.040481,0.09335
1040,2.52117,2.25427,2.21379
1041,0.2782,-2.24297,-4.49724
1042,0.282405,0.004205,2.24718
1043,0.273627,-0.008778,-0.012983
1044,0.207239,-0.066388,-0.05761
1045,0.17972,-0.027519,0.038869
1046,0.246923,0.067203,0.094722
1047,0.288108,0.041185,-0.026018
1048,0.273089,-0.015019,-0.056204
1049,0.23883,-0.034259,-0.01924
1050,0.274738,0.035908,0.070167
1051,0.250719,-0.024019,-0.059927
1052,0.300459,0.04974,0.073759
1053,0.205905,-0.094554,-0.144294
1054,0.230887,0.024982,0.119536
1055,0.268015,0.037128,0.012146
1056,0.232238,-0.035777,-0.072905
1057,0.286793,0.054555,0.090332
1058,0.36157,0.074777,0.020222
1059,0.454977,0.093407,0.01863
1060,0.222072,-0.232905,-0.326312
1061,0.235534,0.013462,0.246367
1062,0.241257,0.005723,-0.007739
1063,0.330311,0.089054,0.083331
1064,0.211849,-0.118462,-0.207516
1065,0.276923,0.065074,0.183536
1066,0.258478,-0.018445,-0.083519
1067,0.323959,0.065481,0.083926
1068,0.24996,-0.073999,-0.13948
1069,0.307367,0.057407,0.131406
1070,0.313478,0.006111,-0.051296
1071,0.26233,-0.051148,-0.057259
1072,0.309218,0.046888,0.098036
1073,0.289497,-0.019721,-0.066609
1074,0.263571,-0.025926,-0.006205
1075,0.319867,0.056296,0.082222
1076,0.26183,-0.058037,-0.114333
1077,0.247312,-0.014518,0.043519
1078,0.272978,0.025666,0.040184
1079,0.282404,0.009426,-0.01624
1080,0.243386,-0.039018,-0.048444
1081,0.226239,-0.017147,0.021871
1082,0.527254,0.301015,0.318162
1083,0.262201,-0.265053,-0.566068
1084,0.21672,-0.045481,0.219572
1085,0.294348,0.077628,0.123109
1086,0.240293,-0.054055,-0.131683
1087,0.291404,0.051111,0.105166
1088,0.250923,-0.040481,-0.091592
1089,0.221572,-0.029351,0.01113
1090,0.232812,0.01124,0.040591
1091,0.27396,0.041148,0.029908
1092,0.250275,-0.023685,-0.064833
1093,0.204776,-0.045499,-0.021814
1094,0.310015,0.105239,0.150738
1095,0.308719,-0.001296,-0.106535
1096,0.327903,0.019184,0.02048
1097,0.232849,-0.095054,-0.114238
1098,0.314589,0.08174,0.176794
1099,0.302163,-0.012426,-0.094166
1100,0.261719,-0.040444,-0.028018
1101,0.225516,-0.036203,0.004241
1102,0.291997,0.066481,0.102684
1103,0.272052,-0.019945,-0.086426
1104,0.29383,0.021778,0.041723
1105,1.98505,1.69122,1.66944
1106,0.471883,-1.51317,-3.20439
1107,0.284071,-0.187812,1.32536
1108,0.277219,-0.006852,0.18096
1109,0.245034,-0.032185,-0.025333
1110,0.359366,0.114332,0.146517
1111,0.313385,-0.045981,-0.160313
1112,0.260608,-0.052777,-0.006796
1113,0.417033,0.156425,0.209202
1114,0.314145,-0.102888,-0.259313
1115,0.675807,0.361662,0.46455
1116,0.245053,-0.430754,-0.792416
1117,0.310978,0.065925,0.496679
1118,0.320256,0.009278,-0.056647
1119,0.361922,0.041666,0.032388
1120,0.325848,-0.036074,-0.07774
1121,0.310181,-0.015667,0.020407
1122,0.395422,0.085241,0.100908
1123,0.317181,-0.078241,-0.163482
1124,0.230757,-0.086424,-0.008183
1125,0.235627,0.00487,0.091294
1126,0.264682,0.029055,0.024185
1127,0.227442,-0.03724,-0.066295
1128,0.246368,0.018926,0.056166
1129,0.324996,0.078628,0.059702
1130,0.280811,-0.044185,-0.122813
1131,0.251293,-0.029518,0.014667
1132,0.23309,-0.018203,0.011315
1133,0.248127,0.015037,0.03324
1134,0.343237,0.09511,0.080073
1135,0.395755,0.052518,-0.042592
1136,0.454902,0.059147,0.006629
1137,0.507346,0.052444,-0.006703
1138,0.614548,0.107202,0.054758
1139,0.396959,-0.217589,-0.324791
1140,0.232423,-0.164536,0.053053
1141,0.296423,0.064,0.228536
1142,0.268127,-0.028296,-0.092296
1143,0.347459,0.079332,0.107628
1144,0.281275,-0.066184,-0.145516
1145,0.260812,-0.020463,0.045721
1146,0.277515,0.016703,0.037166
1147,0.232387,-0.045128,-0.061831
1148,0.257905,0.025518,0.070646
1149,0.505476,0.247571,0.222053
1150,0.340367,-0.165109,-0.41268
1151,0.292164,-0.048203,0.116906
1152,0.25946,-0.032704,0.015499
1153,0.279885,0.020425,0.053129
1154,0.330978,0.051093,0.030668
1155,0.3027,-0.028278,-0.079371
1156,0.261664,-0.041036,-0.012758
1157,0.250757,-0.010907,0.030129
1158,0.662178,0.411421,0.422328
1159,0.271442,-0.390736,-0.802157
1160,0.27846,0.007018,0.397754
1161,0.334978,0.056518,0.0495
1162,0.256812,-0.078166,-0.134684
1163,0.273571,0.016759,0.094925
1164,0.292774,0.019203,0.002444
1165,0.232886,-0.059888,-0.079091
1166,0.328163,0.095277,0.155165
1167,0.32683,-0.001333,-0.09661
1168,0.278219,-0.048611,-0.047278
1169,0.268923,-0.009296,0.039315
1170,0.287608,0.018685,0.027981
1171,0.229738,-0.05787,-0.076555
1172,0.253349,0.023611,0.081481
1173,0.31933,0.065981,0.04237
1174,0.284478,-0.034852,-0.100833
1175,0.3032,0.018722,0.053574
1176,0.24122,-0.06198,-0.080702
1177,0.315126,0.073906,0.135886
1178,5.96588,5.65075,5.57684
1179,0.287533,-5.67834,-11.3291
1180,0.224572,-0.062961,5.61538
1181,0.337404,0.112832,0.175793
1182,0.272738,-0.064666,-0.177498
1183,0.269108,-0.00363,0.061036
1184,0.374293,0.105185,0.108815
1185,8.14391,7.76961,7.66443
1186,0.402588,-7.74132,-15.5109
1187,0.622067,0.219479,7.9608
1188,0.56192,-0.060147,-0.279626
1189,0.280497,-0.281423,-0.221276
1190,0.359107,0.07861,0.360033
1191,4.17301,3.8139,3.73529
1192,0.580031,-3.59298,-7.40688
1193,0.645048,0.065017,3.658
1194,2.07124,1.42619,1.36117
1195,1.15741,-0.913823,-2.34001
1196,0.397847,-0.759566,0.154257
1197,3.42707,3.02923,3.78879
1198,2.11935,-1.30773,-4.33695
1199,0.685937,-1.43341,-0.125684
1200,0.555031,-0.130906,1.3025
1201,0.507161,-0.04787,0.083036
1202,0.663622,0.156461,0.204331
1203,0.762436,0.098814,-0.057647
1204,0.826713,0.064277,-0.034537
1205,0.877527,0.050814,-0.013463
1206,0.899212,0.021685,-0.029129
1207,0.853139,-0.046073,-0.067758
1208,0.576975,-0.276164,-0.230091
1209,0.321459,-0.255516,0.020648
1210,0.247812,-0.073647,0.181869
1211,0.279738,0.031926,0.105573
1212,0.351385,0.071647,0.039721
1213,0.371607,0.020222,-0.051425
1214,2.29323,1.92163,1.90141
1215,0.526402,-1.76683,-3.68846
1216,0.315997,-0.210405,1.55643
1217,0.349625,0.033628,0.244033
1218,0.30133,-0.048295,-0.081923
1219,0.428829,0.127499,0.175794
1220,0.328756,-0.100073,-0.227572
1221,1.40811,1.07936,1.17943
1222,0.531882,-0.876232,-1.95559
1223,0.367478,-0.164404,0.711828
1224,0.353311,-0.014167,0.150237
1225,0.268683,-0.084628,-0.070461
1226,6.7147,6.44602,6.53065
1227,0.464643,-6.25006,-12.6961
1228,0.80838,0.343737,6.5938
1229,0.556419,-0.251961,-0.595698
1230,0.353718,-0.202701,0.04926
1231,0.326663,-0.027055,0.175646
1232,0.345996,0.019333,0.046388
1233,0.433958,0.087962,0.068629
1234,0.281163,-0.152795,-0.240757
1235,0.934785,0.653622,0.806417
1236,0.353052,-0.581733,-1.23535
1237,0.78851,0.435458,1.01719
1238,0.322996,-0.465514,-0.900972
1239,1.10141,0.778418,1.24393
