Iteration,Elapsed Time (ms)
1,1.20175
2,0.866171
3,0.815064
4,1.00188
5,0.973045
6,1.1394
7,0.786098
8,1.00713
9,1.06145
10,0.788217
11,1.17733
12,0.738763
13,1.54684
14,0.515382
15,1.02686
16,1.02426
17,0.80063
18,1.11702
19,0.833786
20,1.02347
21,0.99456
22,0.763756
23,1.03702
24,1.17149
25,0.870273
26,0.814653
27,1.08086
28,1.05882
29,0.884235
30,1.05973
31,0.803453
32,1.39085
33,0.5667
34,0.895226
35,1.01841
36,1.25705
37,0.807456
38,0.983454
39,0.879166
40,1.03124
41,1.05499
42,0.825313
43,1.0435
44,1.01409
45,1.06733
46,1.10149
47,0.813135
48,0.909392
49,1.1181
50,0.869201
51,0.80261
52,1.30151
53,0.640882
54,0.990657
55,1.05983
56,1.13102
57,0.787901
58,1.0393
59,1.10413
60,1.08401
61,0.771781
62,1.01533
63,1.16309
64,0.853186
65,0.873265
66,1.11008
67,0.838649
68,1.04244
69,1.0425
70,0.868505
71,0.905335
72,1.14339
73,0.940763
74,0.847115
75,0.974948
76,1.06616
77,1.03391
78,1.11461
79,0.913385
80,0.978467
81,0.868297
82,1.49902
83,0.297472
84,1.08739
85,0.973218
86,1.08489
87,0.931009
88,0.790937
89,1.07434
90,1.02161
91,1.05916
92,0.752496
93,1.02155
94,0.981551
95,1.00437
96,1.08265
97,0.803426
98,1.43048
99,0.52494
100,1.04879
101,1.03972
102,0.95469
103,0.835086
104,1.13774
105,1.1346
106,0.765408
107,1.09793
108,0.819963
109,0.957525
110,1.09709
111,1.00828
112,0.939561
113,1.16062
114,0.7428
115,1.06487
116,1.04236
117,0.861346
118,1.00022
119,1.11019
120,0.837398
121,1.02167
122,0.788202
123,1.03302
124,1.05114
125,1.1139
126,1.01357
127,0.809496
128,1.05191
129,0.803342
130,1.15523
131,0.902119
132,0.877562
133,1.23091
134,0.811226
135,1.08728
136,0.900574
137,1.06127
138,0.984942
139,1.05636
140,0.838926
141,1.0216
142,1.044
143,1.04657
144,0.993333
145,1.02366
146,0.794214
147,1.14419
148,0.916692
149,0.815023
150,1.07486
151,1.03846
152,0.957855
153,1.0051
154,1.08899
155,0.797202
156,1.01551
157,0.934591
158,0.968365
159,1.05828
160,0.997303
161,1.05732
162,1.0142
163,1.07817
164,0.811186
165,1.02991
166,0.788603
167,0.998942
168,0.995299
169,1.01748
170,0.966983
171,1.07696
172,1.07515
173,0.766994
174,0.968265
175,1.05465
176,1.03257
177,1.12714
178,0.823952
179,1.04996
180,0.933499
181,1.07951
182,0.836093
183,1.06705
184,0.963276
185,1.13416
186,0.813803
187,1.04727
188,0.870759
189,1.07813
190,0.880929
191,1.13899
192,1.05615
193,0.984066
194,0.846828
195,1.07303
196,0.805195
197,1.07668
198,1.04105
199,1.03686
200,1.1933
201,0.590821
202,1.06137
203,0.871243
204,1.02075
205,1.03043
206,0.989626
207,0.882452
208,1.11712
209,0.847256
210,1.03795
211,1.08145
212,1.01295
213,1.21432
214,1.02643
215,0.609924
216,1.06576
217,0.908862
218,0.998184
219,0.817934
220,1.13925
221,0.839984
222,0.993833
223,0.96565
224,1.04961
225,0.833047
226,1.17491
227,1.00325
228,0.874327
229,1.02455
230,1.05397
231,0.949159
232,1.06214
233,0.773449
234,0.980126
235,1.06113
236,0.832046
237,1.04684
238,1.06821
239,0.975108
240,1.13386
241,0.833977
242,0.933386
243,1.1831
244,0.805806
245,1.15261
246,0.921814
247,0.852407
248,1.053
249,1.09574
250,0.796989
251,1.05947
252,1.1047
253,0.855701
254,0.977633
255,1.00627
256,0.99302
257,1.10329
258,0.838117
259,1.13375
260,0.840837
261,1.10817
262,0.805057
263,1.13001
264,1.08278
265,0.768149
266,0.869677
267,1.23691
268,0.820541
269,0.99589
270,0.980989
271,0.954959
272,1.15537
273,0.860345
274,1.03533
275,1.15215
276,0.831182
277,1.17443
278,0.871902
279,1.17502
280,0.985473
281,0.931059
282,0.843334
283,0.829102
284,1.12213
285,0.883199
286,1.08549
287,0.853571
288,1.02523
289,1.08531
290,0.831164
291,1.02445
292,1.09464
293,1.05504
294,0.798604
295,1.14692
296,0.879787
297,1.15662
298,0.777352
299,1.11214
300,0.811716
301,1.02259
302,0.944129
303,1.15758
304,0.866338
305,0.983389
306,1.00173
307,1.08946
308,0.946794
309,0.948718
310,1.2019
311,0.876836
312,0.861491
313,1.10306
314,0.824251
315,1.14997
316,0.747339
317,1.15594
318,0.841524
319,1.02459
320,0.987843
321,0.850476
322,1.0839
323,1.01817
324,1.04055
325,0.818019
326,1.18645
327,0.730031
328,1.21398
329,0.791
330,1.04703
331,0.856012
332,1.02008
333,0.862246
334,1.05026
335,0.831578
336,1.05225
337,1.03403
338,1.09652
339,0.836082
340,1.05999
341,1.09691
342,0.785725
343,0.965079
344,1.02081
345,1.2125
346,0.765604
347,1.03702
348,0.867169
349,1.10697
350,0.792753
351,0.981741
352,1.38672
353,0.614003
354,1.01877
355,1.00803
356,1.00412
357,1.02745
358,1.04273
359,0.988855
360,0.809984
361,1.05634
362,1.07799
363,0.884841
364,1.10714
365,0.828582
366,1.06561
367,0.977393
368,1.04101
369,0.783226
370,1.01517
371,1.30837
372,0.782074
373,1.03161
374,0.748777
375,1.0498
376,1.1028
377,0.951624
378,1.41511
379,0.56781
380,1.13997
381,0.899524
382,0.812528
383,1.11698
384,1.03249
385,0.772282
386,1.0191
387,1.04771
388,1.03629
389,1.06591
390,0.84479
391,1.01581
392,0.927998
393,1.12411
394,0.755249
395,1.26564
396,0.812618
397,1.10193
398,0.947837
399,0.852294
400,1.01214
401,1.01242
402,1.03899
403,0.788626
404,1.08112
405,0.863048
406,0.985896
407,1.01243
408,0.964378
409,0.952665
410,1.01268
411,1.03524
412,1.07022
413,0.837058
414,1.23248
415,0.637076
416,1.09934
417,0.908242
418,1.02694
419,0.891453
420,1.03891
421,1.16567
422,0.778567
423,1.05366
424,0.892852
425,1.04946
426,1.06166
427,1.02578
428,0.830676
429,1.31675
430,0.780278
431,1.07872
432,0.803945
433,1.0391
434,0.877159
435,1.03103
436,1.12315
437,0.811433
438,1.10802
439,1.04745
440,1.02679
441,0.786606
442,1.09584
443,1.04758
444,0.823833
445,1.48503
446,0.530201
447,1.13238
448,0.820365
449,1.03777
450,0.859037
451,1.09918
452,1.00133
453,1.10867
454,0.951543
455,0.751703
456,0.92926
457,1.04306
458,1.00738
459,1.08393
460,0.84491
461,1.02348
462,1.18948
463,0.922358
464,1.10707
465,0.796649
466,0.967864
467,0.982593
468,0.845561
469,1.0047
470,0.980957
471,1.02805
472,1.0128
473,1.11408
474,0.977944
475,0.98165
476,0.965029
477,1.09562
478,0.820881
479,0.995508
480,1.15916
481,0.84326
482,0.826435
483,1.05753
484,1.08182
485,0.978114
486,1.05792
487,0.798699
488,1.17819
489,0.895479
490,0.993333
491,1.08271
492,0.801124
493,1.13022
494,0.967514
495,0.838996
496,1.05914
497,1.05375
498,1.032
499,0.952135
500,0.951733
501,1.06402
502,0.795213
503,1.19552
504,0.904634
505,0.967133
506,1.13599
507,0.806844
508,1.08763
509,0.844009
510,1.13128
511,0.766168
512,1.11161
513,1.01683
514,1.03888
515,0.774819
516,1.00039
517,1.02326
518,0.993236
519,0.994452
520,1.05694
521,1.06259
522,1.00202
523,0.845429
524,0.872595
525,1.05859
526,1.09066
527,0.910838
528,1.00281
529,1.02714
530,1.06007
531,0.777549
532,1.13584
533,0.979797
534,1.0017
535,1.08976
536,0.851333
537,1.05282
538,1.10392
539,0.815621
540,1.03577
541,1.24744
542,0.663524
543,1.10842
544,0.770839
545,1.1558
546,1.10728
547,0.800566
548,0.967564
549,1.0051
550,1.02565
551,1.11291
552,0.841651
553,0.922448
554,1.09265
555,1.11038
