Iteration,Elapsed Time (ms)
1,1.18507
2,0.87099
3,0.835772
4,1.02614
5,1.02713
6,1.02186
7,1.244
8,0.762322
9,1.00331
10,0.811355
11,1.00991
12,0.941161
13,0.908421
14,0.966897
15,1.21715
16,0.881961
17,0.914944
18,1.1078
19,0.781837
20,1.48596
21,0.564806
22,1.00163
23,1.31928
24,0.678864
25,0.79736
26,1.00043
27,0.962112
28,1.14435
29,1.02573
30,0.764244
31,1.07048
32,0.920399
33,1.04671
34,0.918149
35,0.995877
36,1.23335
37,0.863606
38,0.799478
39,0.888357
40,1.03538
41,0.827266
42,1.21405
43,0.800565
44,0.939179
45,1.0152
46,1.02886
47,1.07713
48,0.777814
49,0.998393
50,0.983842
51,0.945554
52,1.0317
53,0.956119
54,1.06596
55,1.45131
56,0.604241
57,0.786519
58,1.05307
59,1.4953
60,0.360788
61,0.982652
62,1.01235
63,0.942977
64,0.979135
65,1.05601
66,1.00473
67,0.992832
68,0.972533
69,0.899633
70,1.01727
71,1.20194
72,0.730632
73,0.890775
74,1.41877
75,0.548643
76,0.98022
77,1.1523
78,1.10125
79,0.849019
80,1.01738
81,0.765613
82,1.11591
83,0.847455
84,1.09653
85,1.07827
86,0.974942
87,1.02977
88,0.955451
89,0.969797
90,0.831422
91,1.10116
92,0.754239
93,1.09602
94,0.896788
95,1.02754
96,1.02118
97,0.97726
98,1.02607
99,0.919416
100,0.881655
101,0.968587
102,1.02247
103,1.07335
104,1.05802
105,0.914031
106,0.96048
107,1.18847
108,0.969167
109,0.769386
110,0.984646
111,0.967962
112,0.940985
113,0.973735
114,0.985052
115,1.02788
116,0.949384
117,0.949128
118,1.10785
119,0.989929
120,0.986514
121,0.941169
122,0.900256
123,1.09125
124,0.889835
125,1.08731
126,0.891263
127,0.974372
128,1.1657
129,0.769481
130,1.16459
131,1.01272
132,0.765982
133,1.1929
134,1.08815
135,0.742735
136,0.982901
137,1.09904
138,0.913532
139,1.08231
140,0.996348
141,0.999415
142,0.757007
143,0.967654
144,1.00591
145,0.970089
146,1.13477
147,0.932183
148,0.922824
149,1.10092
150,0.974013
151,0.934903
152,0.899151
153,1.13727
154,0.957858
155,0.947215
156,0.914442
157,0.990878
158,1.01805
159,0.959128
160,1.00754
161,0.946859
162,1.12308
163,0.955043
164,0.904404
165,0.905057
166,1.1637
167,1.02066
168,0.818841
169,1.12293
170,0.924621
171,0.950376
172,0.995046
173,1.00782
174,0.931716
175,0.974507
176,1.10808
177,0.926185
178,0.951112
179,0.928569
180,1.12123
181,0.914712
182,0.892473
183,1.08734
184,0.888363
185,1.14158
186,0.873001
187,0.953928
188,1.04822
189,1.05036
190,0.945767
191,0.99149
192,0.925382
193,0.944099
194,0.883038
195,1.07979
196,1.11426
197,0.877001
198,0.932196
199,0.90279
200,1.12096
201,0.975368
202,1.13251
203,0.909042
204,0.987547
205,0.976095
206,0.996564
207,1.05548
208,0.72074
209,0.967714
210,1.12164
211,0.913771
212,0.925233
213,1.13069
214,0.89709
215,0.863796
216,1.10437
217,0.896759
218,1.08811
219,1.07764
220,0.917769
221,1.10958
222,1.00677
223,0.974484
224,0.900526
225,0.888847
226,1.08419
227,0.862373
228,1.18887
229,0.880327
230,0.863035
231,1.1874
232,0.889502
233,0.910404
234,1.11561
235,0.945872
236,1.00997
237,0.979541
238,1.08154
239,1.00999
240,0.83452
241,0.989017
242,0.948856
243,0.938811
244,0.929715
245,1.13634
246,1.05738
247,0.964793
248,0.866692
249,1.00831
250,0.996842
251,1.07112
252,0.961598
253,0.985124
254,1.00645
255,1.04418
256,0.758561
257,0.990483
258,1.01247
259,0.963724
260,0.947287
261,0.982877
262,1.21863
263,0.791142
